ID;Fichier;Titre_actuel;Auteur_actuel;ACTION;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
18;Au-delà de la philosophie universitaire - Arthur Schopenhauer.epub;Schopenhauer, Arthur;Au-delà de la philosophie universitaire;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Au-delà de la philosophie universitaire;Schopenhauer, Arthur
19;Cevdet Bey Et Ses Fils - Orhan Pamuk.epub;Pamuk, Orhan;Cevdet Bey Et Ses Fils;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Cevdet Bey Et Ses Fils;Pamuk, Orhan
20;Dans les pas de l’ange - Lisa Szafraniec.epub;Szafraniec, Lisa;Dans les pas de l’ange;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Dans les pas de l’ange;Szafraniec, Lisa
21;Harry Potter - T01 - Harry Potter à l'École des Sorciers - J.K. Rowling.epub;Rowling, J.K.;Harry Potter à l'École des Sorciers;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Harry Potter à l'École des Sorciers;Rowling, J.K.
22;A la recherche du temps perdu - Tome II - A l’ombre des jeunes filles en fleurs - Marcel Proust.epub;Proust, Marcel;A l’ombre des jeunes filles en fleurs;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;A l’ombre des jeunes filles en fleurs;Proust, Marcel
23;Dans le café de la jeunesse perdue - Patrick Modiano.epub;Modiano, Patrick;Dans le café de la jeunesse perdue;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Dans le café de la jeunesse perdue;Modiano, Patrick
24;Tel est pris qui croyait prendre - Roald Dahl.epub;Dahl, Roald;Tel est pris qui croyait prendre;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Tel est pris qui croyait prendre;Dahl, Roald
25;Ne fais confiance à personne - Paul Cleave.epub;Cleave, Paul;Ne fais confiance à personne;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Ne fais confiance à personne;Cleave, Paul
26;Clotilde Martory, par Hector Malot - Hector Malot.epub;Malot, Hector;Clotilde Martory, par Hector Malot;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Clotilde Martory, par Hector Malot;Malot, Hector
27;Au paradis des manuscrits refusés - Irving Finkel.epub;Finkel, Irving;Au paradis des manuscrits refusés;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Au paradis des manuscrits refusés;Finkel, Irving
28;Owen Noone and the Marauder - Douglas Cowie.epub;Cowie, Douglas;Owen Noone and the Marauder;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Owen Noone and the Marauder;Cowie, Douglas
29;Gel au nez rouge, Le - Nekrassov.epub;Nekrassov;Gel au nez rouge, Le;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Gel au nez rouge, Le;Nekrassov
30;Filibuth ou La montre en or - Max Jacob.epub;Jacob, Max;Filibuth ou La montre en or;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Filibuth ou La montre en or;Jacob, Max
31;Agone44_inter_15x21 - Michel.epub;Michel;Agone44_inter_15x21;;75;PROBABLE;R5: Auteur contient des chiffres | R6: Ponctuation inhabituelle dans auteur;Agone44_inter_15x21;Michel
32;In girum imus nocte et consumimur igni - Guy Debord.epub;Debord, Guy;In girum imus nocte et consumimur igni;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;In girum imus nocte et consumimur igni;Debord, Guy
33;Au plus bas des Hautes Solitudes - Don Winslow.epub;Winslow, Don;Au plus bas des Hautes Solitudes;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Au plus bas des Hautes Solitudes;Winslow, Don
34;Clan Des Otori I, le Silence du Rossignol - Lian Hearn.epub;Hearn, Lian;Clan Des Otori I, le Silence du Rossignol;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Clan Des Otori I, le Silence du Rossignol;Hearn, Lian
35;Dieu n'habite pas La Havane - Yasmina Khadra.epub;Khadra, Yasmina;Dieu n'habite pas La Havane;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Dieu n'habite pas La Havane;Khadra, Yasmina
36;Jean des Brebis ou Le livre de la misère - Émile Moselly.epub;Moselly, Émile;Jean des Brebis ou Le livre de la misère;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Jean des Brebis ou Le livre de la misère;Moselly, Émile
37;Je voudrais que quelqu'un m'attende quelque part - Anna Gavalda.epub;Gavalda, Anna;Je voudrais que quelqu'un m'attende quelque part;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Je voudrais que quelqu'un m'attende quelque part;Gavalda, Anna
38;Autoportrait de l'auteur en coureur de fond - Haruki Murakami.epub;Murakami, Haruki;Autoportrait de l'auteur en coureur de fond;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Autoportrait de l'auteur en coureur de fond;Murakami, Haruki
39;fondement de la morale, Le - Arthur Schopenhauer.epub;Schopenhauer, Arthur;Arthur Schopenhauer, Le Fondement de la morale;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Arthur Schopenhauer, Le Fondement de la morale;Schopenhauer, Arthur
40;Nègre de Pierre le Grand, Le - Pouchkine.epub;Pouchkine;Nègre de Pierre le Grand, Le;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Nègre de Pierre le Grand, Le;Pouchkine
41;OpCenter2_ImageVirtuelle - Op-Center -2- Image Virtuelle.epub;Op-Center -2- Image Virtuelle;OpCenter2_ImageVirtuelle;;75;PROBABLE;R5: Auteur contient des chiffres | R6: Ponctuation inhabituelle dans auteur;OpCenter2_ImageVirtuelle;Op-Center -2- Image Virtuelle
42;Sur la scène comme au ciel - Jean Rouaud.epub;Rouaud, Jean;Sur la scène comme au ciel;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Sur la scène comme au ciel;Rouaud, Jean
43;Il n'en revint que trois - Gudbergur Bergsson.epub;Bergsson, Gudbergur;Il n'en revint que trois;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Il n'en revint que trois;Bergsson, Gudbergur
44;Enquêtes du commissaire Collura, Les - Andrea Camilleri.epub;Andrea Camilleri;Enquêtes du commissaire Collura, Les;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Enquêtes du commissaire Collura, Les;Andrea Camilleri
45;Oscar et la dame rose - Éric-Emmanuel Schmitt.epub;Schmitt, Éric-Emmanuel;Oscar et la dame rose;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Oscar et la dame rose;Schmitt, Éric-Emmanuel
46;Cité de la poussière rouge - Xiaolong Qiu.epub;Qiu, Xiaolong;Cité de la poussière rouge;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Cité de la poussière rouge;Qiu, Xiaolong
47;Lorsque j'étais une œuvre d'art - Eric-Emmanuel Schmitt.epub;Schmitt, Eric-Emmanuel;Lorsque j'étais une œuvre d'art;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Lorsque j'étais une œuvre d'art;Schmitt, Eric-Emmanuel
48;Petite fleur (jamais ne meurt) - Iosi Havilio.epub;Havilio, Iosi;Petite fleur (jamais ne meurt);;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Petite fleur (jamais ne meurt);Havilio, Iosi
49;Miracle du mercredi des cendres, Le - Zamiatine.epub;Zamiatine;Miracle du mercredi des cendres, Le;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Miracle du mercredi des cendres, Le;Zamiatine
50;Nord Contre Sud (Dodo Press) - Jules Verne.epub;Verne, Jules;Nord Contre Sud (Dodo Press);;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Nord Contre Sud (Dodo Press);Verne, Jules
51;Ensemble encore suivi de Perambulans in noctem - Yves Bonnefoy.epub;Bonnefoy, Yves;Ensemble encore suivi de Perambulans in noctem;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Ensemble encore suivi de Perambulans in noctem;Bonnefoy, Yves
52;Tropique du Cancer suivi de Tropique du Capricorne - Henry Miller.epub;Miller, Henry;Tropique du Cancer suivi de Tropique du Capricorne;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Tropique du Cancer suivi de Tropique du Capricorne;Miller, Henry
53;Je suis le genre de fille - Nathalie Kuperman.epub;Kuperman, Nathalie;Je suis le genre de fille;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Je suis le genre de fille;Kuperman, Nathalie
54;On ne badine pas avec l'Infini - Henri Roorda.epub;Roorda, Henri;On ne badine pas avec l'Infini;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;On ne badine pas avec l'Infini;Roorda, Henri
55;Pour expliquer ce que j'étais - Louis Aragon.epub;Aragon, Louis;Pour expliquer ce que j'étais;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Pour expliquer ce que j'étais;Aragon, Louis
56;Ils vont tuer Robert Kennedy - Marc Dugain.epub;Dugain, Marc;Ils vont tuer Robert Kennedy;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Ils vont tuer Robert Kennedy;Dugain, Marc
57;Crapaud et la rose, Le - Garchine.epub;Garchine;Crapaud et la rose, Le;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Crapaud et la rose, Le;Garchine
58;Ce qui est arrivé aux Kempinski - Agnès Desarthe.epub;Desarthe, Agnès;Ce qui est arrivé aux Kempinski;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Ce qui est arrivé aux Kempinski;Desarthe, Agnès
59;Du boulier à la révolution numérique, Algorithmes et informatique (2010) - Vicenç Torra.epub;Torra, Vicenç;Du boulier à la révolution numérique, Algorithmes et informatique;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Du boulier à la révolution numérique, Algorithmes et informatique;Torra, Vicenç
60;Lune de miel en enfer - Fredric Brown.epub;Brown, Fredric;Lune de miel en enfer;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Lune de miel en enfer;Brown, Fredric
61;Vrilles de la vigne, Les - Colette.epub;Colette;Vrilles de la vigne, Les;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Vrilles de la vigne, Les;Colette
62;Sur le Tour de France - Antoine Blondin.epub;Blondin, Antoine;Sur le Tour de France;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Sur le Tour de France;Blondin, Antoine
63;Ce qui gît dans ses entrailles - Jennifer Haigh.epub;Haigh, Jennifer;Ce qui gît dans ses entrailles;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Ce qui gît dans ses entrailles;Haigh, Jennifer
64;Monsieur Ladmiral va bientôt mourir (Un dimanche à la campagne) - Pierre Bost.epub;Bost, Pierre;Monsieur Ladmiral va bientôt mourir (Un dimanche à la campagne);;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Monsieur Ladmiral va bientôt mourir (Un dimanche à la campagne);Bost, Pierre
65;Dans une coque de noix - Ian Mcewan.epub;Mcewan, Ian;Dans une coque de noix;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Dans une coque de noix;Mcewan, Ian
66;Ballade pour un père oublié - Jean Teulé.epub;Teulé, Jean;Ballade pour un père oublié;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Ballade pour un père oublié;Teulé, Jean
67;Courir les rues – Battre la campagne – Fendre les flots - Raymond Queneau.epub;Queneau, Raymond;Courir les rues – Battre la campagne – Fendre les flots;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Courir les rues – Battre la campagne – Fendre les flots;Queneau, Raymond
68;Dans les coulisses du musées - Kate Atkinson.epub;Atkinson, Kate;Dans les coulisses du musées;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Dans les coulisses du musées;Atkinson, Kate
69;Conseils d'un disciple de Morrisson à un fanatique de Joyce - Roberto Bolaño.epub;Bolaño, Roberto;Conseils d'un disciple de Morrisson à un fanatique de Joyce;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Conseils d'un disciple de Morrisson à un fanatique de Joyce;Bolaño, Roberto
70;Manuel de savoir-vivre à l’usage des rustres et des malpolis - Pierre Desproges.epub;Desproges, Pierre;Manuel de savoir-vivre à l’usage des rustres et des malpolis;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Manuel de savoir-vivre à l’usage des rustres et des malpolis;Desproges, Pierre
71;Grand Pas Vers Le Bon Dieu, Un - Jean Vautrin.epub;Vautrin, Jean;Grand Pas Vers Le Bon Dieu, Un;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Grand Pas Vers Le Bon Dieu, Un;Vautrin, Jean
72;Huis clos. Suivi de Les mouches - Jean-Paul Sartre.epub;Sartre, Jean-Paul;Huis clos. Suivi de Les mouches;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Huis clos. Suivi de Les mouches;Sartre, Jean-Paul
73;Labyrinthe fatal (French Edition) - Douglas Preston & Lincoln Child.epub;Douglas Preston & Lincoln Child;Labyrinthe fatal (French Edition);;75;PROBABLE;R8: Titre contient '&' entre noms | R10: Mots-clés de titres dans auteur;Labyrinthe fatal (French Edition);Douglas Preston & Lincoln Child
74;Sainte Geneviève patronne de Paris - Charles Péguy.epub;Péguy, Charles;Sainte Geneviève patronne de Paris;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Sainte Geneviève patronne de Paris;Péguy, Charles
75;Il est plus tard que tu ne penses - Gilbert Cesbron.epub;Cesbron, Gilbert;Il est plus tard que tu ne penses;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Il est plus tard que tu ne penses;Cesbron, Gilbert
76;Traité des passions - René Descartes & Alain.epub;René Descartes & Alain;Traité des passions;;75;PROBABLE;R7: Titre ressemble à un nom complet | R8: Titre contient '&' entre noms;Traité des passions;René Descartes & Alain
77;Robinson Crusoé I & II Intégrale - Daniel de Foé.epub;Robinson Crusoe, prec. d'une notice sur la vie et les ouvrages de l'auteur;Foe, Daniel. Robinson Crusoe. French De;;75;PROBABLE;R8: Titre contient '&' entre noms | R10: Mots-clés de titres dans auteur;Foe, Daniel. Robinson Crusoe. French De;Robinson Crusoe, prec. d'une notice sur la vie et les ouvrages de l'auteur
78;Extension du domaine de la lutte - Michel Houellebecq.epub;Houellebecq, Michel;Extension du domaine de la lutte;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Extension du domaine de la lutte;Houellebecq, Michel
79;Vingt ans avec mon chat - Mayumi Inaba.epub;Inaba, Mayumi;Vingt ans avec mon chat;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Vingt ans avec mon chat;Inaba, Mayumi
80;fainéants dans la vallée fertile, Les - albert cossery.epub;cossery, albert;fainéants dans la vallée fertile, Les;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;fainéants dans la vallée fertile, Les;cossery, albert
81;Malheur d'avoir de l'esprit, Le - Groboïedov.epub;Groboïedov;Malheur d'avoir de l'esprit, Le;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Malheur d'avoir de l'esprit, Le;Groboïedov
82;Harry Potter - T06 - Harry Potter et le Prince de Sang-Mêlé - J.K. Rowling.epub;Rowling, J.K.;Harry Potter et le Prince de Sang-Mêlé;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Harry Potter et le Prince de Sang-Mêlé;Rowling, J.K.
83;VIGIE DE KOAT VËN, LA - Eugène Sue.epub;Sue, Eugène;VIGIE DE KOAT VËN, LA;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;VIGIE DE KOAT VËN, LA;Sue, Eugène
84;Français d'ici, de là, de là-bas, Le - Henriette Walter.epub;Henriette Walter;Français d'ici, de là, de là-bas, Le;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Français d'ici, de là, de là-bas, Le;Henriette Walter
85;Je suis une créature émotionnelle - Eve Ensler.epub;Ensler, Eve;Je suis une créature émotionnelle;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Je suis une créature émotionnelle;Ensler, Eve
86;Mignone allons voir si la rose - François Cavanna.epub;Cavanna, François;Mignone allons voir si la rose;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Mignone allons voir si la rose;Cavanna, François
87;Batifoille,Michel [] Faites revenir ! (2010 french.zzz.epub;Batifoille,Michel;Faites revenir ! (2010;;75;PROBABLE;R5: Auteur contient des chiffres | R6: Ponctuation inhabituelle dans auteur;Faites revenir ! (2010;Batifoille,Michel
88;Sociologie de la communication politique - Philippe Riutort.epub;Riutort, Philippe;Sociologie de la communication politique;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Sociologie de la communication politique;Riutort, Philippe
89;Ce soir, on regardera les étoiles… - Alì Ehsani.epub;Ehsani, Alì;Ce soir, on regardera les étoiles…;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Ce soir, on regardera les étoiles…;Ehsani, Alì
90;Potemkine ou Le troisième cœur - Iouri Bouïda.epub;Bouïda, Iouri;Potemkine ou Le troisième cœur;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Potemkine ou Le troisième cœur;Bouïda, Iouri
91;C'en est fini de moi - Alfred Hayes.epub;Hayes, Alfred;C'en est fini de moi;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;C'en est fini de moi;Hayes, Alfred
92;Pour en finir avec Dieu - Richard Dawkins.epub;Dawkins, Richard;Pour en finir avec Dieu;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Pour en finir avec Dieu;Dawkins, Richard
93;Réflexions sur la question juive - Jean-Paul Sartre.epub;Sartre, Jean-Paul;Réflexions sur la question juive;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Réflexions sur la question juive;Sartre, Jean-Paul
94;Au-delà du fleuve et sous les arbres - Ernest Hemingway.epub;Hemingway, Ernest;Au-delà du fleuve et sous les arbres;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Au-delà du fleuve et sous les arbres;Hemingway, Ernest
95;In anima vili - Les Mystères de Druon de Brévaux 4 - In anima vili.epub;vili, In anima;Les Mystères de Druon de Brévaux 4;;75;PROBABLE;R4: Auteur commence par article | R5: Auteur contient des chiffres;Les Mystères de Druon de Brévaux 4;vili, In anima
96;À malin, malin et demi - Richard Russo.epub;Russo, Richard;À malin, malin et demi;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;À malin, malin et demi;Russo, Richard
97;Blanc Et Le Noir, Le - Voltaire.epub;Voltaire;Blanc Et Le Noir, Le;;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Blanc Et Le Noir, Le;Voltaire
98;À l’ombre des jeunes filles en fleurs - Marcel Proust.epub;Proust, Marcel;À l’ombre des jeunes filles en fleurs;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;À l’ombre des jeunes filles en fleurs;Proust, Marcel
99;Apostille au Nom de la rose - Umberto Eco.epub;Eco, Umberto;Apostille au Nom de la rose;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Apostille au Nom de la rose;Eco, Umberto
100;@Odyssée D'Homère, Texte Grec, Revu Et Corrigé . [Épigrammes], Par Alexis Pierron, L' - Homère.epub;Homère;@Odyssée D'Homère, Texte Grec, Revu Et Corrigé . [Épigrammes], Par Alexis Pierron, L';;75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;@Odyssée D'Homère, Texte Grec, Revu Et Corrigé . [Épigrammes], Par Alexis Pierron, L';Homère
101;Qui ne dit mot consent - Alma Brami.epub;Brami, Alma;Qui ne dit mot consent;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Qui ne dit mot consent;Brami, Alma
102;Deux Garçons à la Mère - Guylaine Guay.epub;Guay, Guylaine;Deux Garçons à la Mère;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Deux Garçons à la Mère;Guay, Guylaine
103;Défaite des maîtres et possesseurs - Vincent Message.epub;Message, Vincent;Défaite des maîtres et possesseurs;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Défaite des maîtres et possesseurs;Message, Vincent
104;Plus fort que Sherlock Holmès - Mark Twain.epub;Twain, Mark;Plus fort que Sherlock Holmès;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Plus fort que Sherlock Holmès;Twain, Mark
105;Félix et la source invisible - Eric-Emmanuel Schmitt.epub;Schmitt, Eric-Emmanuel;Félix et la source invisible;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Félix et la source invisible;Schmitt, Eric-Emmanuel
106;Vendredi ou les limbes du Pacifique - Michel Tournier.epub;Tournier, Michel;Vendredi ou les limbes du Pacifique;;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Vendredi ou les limbes du Pacifique;Tournier, Michel
107;Collectif [Contes] Les mille et une nuits - Contes arabes.epub;Collectif [Contes] Les mille et une nuits;arabes, Contes;;75;PROBABLE;R8: Titre contient '&' entre noms | R10: Mots-clés de titres dans auteur;arabes, Contes;Collectif [Contes] Les mille et une nuits
